Frame,test_image1.png,test_image2.png,test_image3.png,test_image4.png
1,41.0,87.78260869565217,101.14285714285714,101.14285714285714
2,37.58064516129032,91.93478260869566,99.14285714285714,99.14285714285714
3,38.70967741935484,91.17391304347827,100.71428571428571,100.71428571428571
4,38.25806451612903,91.73913043478261,104.5,104.5
5,40.064516129032256,92.69565217391305,103.64285714285714,103.64285714285714
6,42.87096774193548,93.82608695652173,99.85714285714286,99.85714285714286
7,41.41935483870968,94.1304347826087,99.5,99.5
8,42.516129032258064,94.69565217391305,101.92857142857143,101.92857142857143
9,47.645161290322584,90.65217391304348,101.0,101.0
10,44.935483870967744,93.73913043478261,96.78571428571429,96.78571428571429
11,58.064516129032256,113.26086956521739,93.64285714285714,93.64285714285714
12,39.25806451612903,91.54347826086956,96.71428571428571,96.71428571428571
13,48.0,94.84782608695652,97.5,97.5
14,67.93548387096774,102.73913043478261,103.0,103.0
15,65.90322580645162,106.17391304347827,105.57142857142857,105.57142857142857
16,75.2258064516129,110.06521739130434,110.21428571428571,110.21428571428571
17,85.12903225806451,111.6086956521739,111.78571428571429,111.78571428571429
18,93.74193548387096,112.04347826086956,120.71428571428571,120.71428571428571
19,105.0,124.84782608695652,141.64285714285714,141.64285714285714
20,123.12903225806451,132.65217391304347,144.35714285714286,144.35714285714286
21,121.51612903225806,131.1304347826087,144.42857142857142,144.42857142857142
22,120.0,134.08695652173913,139.5,139.5
23,112.2258064516129,134.02173913043478,151.21428571428572,151.21428571428572
24,110.03225806451613,135.67391304347825,150.5,150.5
25,104.74193548387096,140.08695652173913,148.5,148.5
26,104.58064516129032,141.54347826086956,151.07142857142858,151.07142857142858
27,94.93548387096774,137.67391304347825,147.92857142857142,147.92857142857142
28,96.19354838709677,141.8695652173913,155.78571428571428,155.78571428571428
29,91.25806451612904,140.2608695652174,153.21428571428572,153.21428571428572
30,92.29032258064517,136.7173913043478,150.78571428571428,150.78571428571428
31,91.48387096774194,136.6304347826087,150.78571428571428,150.78571428571428
32,93.09677419354838,135.2391304347826,148.35714285714286,148.35714285714286
33,92.0,132.30434782608697,152.85714285714286,152.85714285714286
34,91.70967741935483,132.3695652173913,151.14285714285714,151.14285714285714
35,92.74193548387096,128.84782608695653,152.07142857142858,152.07142857142858
36,96.93548387096774,129.7608695652174,153.85714285714286,153.85714285714286
37,99.54838709677419,128.67391304347825,157.21428571428572,157.21428571428572
38,100.51612903225806,127.1304347826087,153.92857142857142,153.92857142857142
39,102.35483870967742,125.76086956521739,154.64285714285714,154.64285714285714
40,100.16129032258064,124.23913043478261,155.0,155.0
41,105.25806451612904,122.65217391304348,153.21428571428572,153.21428571428572
42,105.2258064516129,123.5,152.57142857142858,152.57142857142858
43,115.38709677419355,122.41304347826087,155.85714285714286,155.85714285714286
44,117.38709677419355,124.54347826086956,153.14285714285714,153.14285714285714
45,120.38709677419355,120.47826086956522,147.35714285714286,147.35714285714286
46,121.7741935483871,120.93478260869566,152.57142857142858,152.57142857142858
47,122.41935483870968,118.73913043478261,152.35714285714286,152.35714285714286
48,122.48387096774194,116.43478260869566,149.35714285714286,149.35714285714286
49,126.61290322580645,115.65217391304348,152.64285714285714,152.64285714285714
50,123.87096774193549,112.82608695652173,146.28571428571428,146.28571428571428
51,128.1290322580645,114.6304347826087,151.0,151.0
52,127.51612903225806,116.06521739130434,146.35714285714286,146.35714285714286
53,128.19354838709677,113.65217391304348,148.5,148.5
54,127.93548387096774,114.93478260869566,156.78571428571428,156.78571428571428
55,130.03225806451613,114.06521739130434,149.42857142857142,149.42857142857142
56,128.7741935483871,114.47826086956522,151.78571428571428,151.78571428571428
57,128.3548387096774,112.93478260869566,151.07142857142858,151.07142857142858
58,127.87096774193549,110.6086956521739,150.14285714285714,150.14285714285714
59,126.6774193548387,111.26086956521739,151.71428571428572,151.71428571428572
60,129.48387096774192,113.06521739130434,146.78571428571428,146.78571428571428
61,127.38709677419355,112.82608695652173,148.0,148.0
62,129.09677419354838,115.26086956521739,144.71428571428572,144.71428571428572
63,127.3225806451613,112.82608695652173,150.0,150.0
64,126.80645161290323,116.02173913043478,143.0,143.0
65,125.41935483870968,113.95652173913044,150.42857142857142,150.42857142857142
66,128.5483870967742,113.41304347826087,151.42857142857142,151.42857142857142
67,128.83870967741936,113.41304347826087,147.5,147.5
68,130.03225806451613,114.04347826086956,150.78571428571428,150.78571428571428
69,129.51612903225808,114.69565217391305,151.35714285714286,151.35714285714286
70,130.03225806451613,111.06521739130434,149.92857142857142,149.92857142857142
71,129.29032258064515,114.04347826086956,153.85714285714286,153.85714285714286
72,127.93548387096774,115.1304347826087,153.07142857142858,153.07142857142858
73,126.58064516129032,110.6086956521739,151.35714285714286,151.35714285714286
74,125.38709677419355,115.21739130434783,152.57142857142858,152.57142857142858
75,126.51612903225806,116.3695652173913,156.92857142857142,156.92857142857142
76,125.2258064516129,113.82608695652173,151.21428571428572,151.21428571428572
77,124.12903225806451,111.80434782608695,155.35714285714286,155.35714285714286
78,124.45161290322581,112.32608695652173,155.07142857142858,155.07142857142858
79,122.51612903225806,110.43478260869566,155.5,155.5
80,127.6774193548387,111.41304347826087,155.57142857142858,155.57142857142858
81,126.0,109.43478260869566,155.21428571428572,155.21428571428572
82,125.54838709677419,111.65217391304348,153.85714285714286,153.85714285714286
83,125.16129032258064,112.0,151.21428571428572,151.21428571428572
84,123.51612903225806,111.54347826086956,152.07142857142858,152.07142857142858
85,122.74193548387096,111.3913043478261,154.07142857142858,154.07142857142858
86,124.35483870967742,110.21739130434783,155.5,155.5
87,118.90322580645162,108.5,152.14285714285714,152.14285714285714
88,121.58064516129032,109.97826086956522,146.42857142857142,146.42857142857142
89,122.93548387096774,109.8695652173913,152.92857142857142,152.92857142857142
90,120.51612903225806,109.47826086956522,154.42857142857142,154.42857142857142
91,120.83870967741936,111.76086956521739,152.42857142857142,152.42857142857142
92,120.2258064516129,109.67391304347827,154.0,154.0
93,121.45161290322581,107.28260869565217,153.28571428571428,153.28571428571428
94,121.03225806451613,108.15217391304348,151.35714285714286,151.35714285714286
95,120.87096774193549,107.93478260869566,153.85714285714286,153.85714285714286
96,118.29032258064517,109.8913043478261,153.92857142857142,153.92857142857142
97,121.06451612903226,108.65217391304348,153.5,153.5
98,123.06451612903226,109.82608695652173,151.0,151.0
99,120.58064516129032,109.71739130434783,149.5,149.5
100,119.90322580645162,106.0,147.07142857142858,147.07142857142858
101,121.83870967741936,106.52173913043478,151.85714285714286,151.85714285714286
102,121.12903225806451,110.54347826086956,152.85714285714286,152.85714285714286
103,118.90322580645162,108.21739130434783,148.5,148.5
104,120.70967741935483,110.26086956521739,152.78571428571428,152.78571428571428
105,117.83870967741936,107.17391304347827,154.71428571428572,154.71428571428572
106,120.19354838709677,107.23913043478261,151.5,151.5
107,118.58064516129032,107.43478260869566,153.35714285714286,153.35714285714286
108,120.80645161290323,106.5,150.57142857142858,150.57142857142858
109,119.16129032258064,107.3695652173913,151.07142857142858,151.07142857142858
110,117.45161290322581,101.82608695652173,148.71428571428572,148.71428571428572
111,120.74193548387096,103.65217391304348,152.92857142857142,152.92857142857142
112,117.70967741935483,103.91304347826087,147.78571428571428,147.78571428571428
113,119.45161290322581,104.8695652173913,149.28571428571428,149.28571428571428
114,119.48387096774194,102.06521739130434,149.85714285714286,149.85714285714286
115,119.96774193548387,102.34782608695652,146.78571428571428,146.78571428571428
116,117.51612903225806,101.80434782608695,150.57142857142858,150.57142857142858
117,119.3225806451613,102.41304347826087,154.5,154.5
118,119.0,102.3695652173913,153.92857142857142,153.92857142857142
119,117.3225806451613,100.97826086956522,152.85714285714286,152.85714285714286
120,120.61290322580645,100.6304347826087,152.35714285714286,152.35714285714286
121,117.61290322580645,97.78260869565217,151.42857142857142,151.42857142857142
122,117.90322580645162,98.45652173913044,155.14285714285714,155.14285714285714
123,115.93548387096774,100.32608695652173,157.57142857142858,157.57142857142858
124,117.51612903225806,99.8913043478261,160.14285714285714,160.14285714285714
125,117.35483870967742,99.17391304347827,156.28571428571428,156.28571428571428
126,117.2258064516129,96.30434782608695,158.35714285714286,158.35714285714286
127,116.45161290322581,96.84782608695652,158.21428571428572,158.21428571428572
128,121.16129032258064,98.84782608695652,155.28571428571428,155.28571428571428
129,119.25806451612904,99.3913043478261,160.35714285714286,160.35714285714286
130,118.45161290322581,97.8913043478261,158.5,158.5
131,117.83870967741936,97.95652173913044,155.64285714285714,155.64285714285714
132,119.38709677419355,98.06521739130434,156.57142857142858,156.57142857142858
133,115.96774193548387,95.82608695652173,162.64285714285714,162.64285714285714
134,118.09677419354838,97.0,159.71428571428572,159.71428571428572
135,118.35483870967742,97.8913043478261,160.0,160.0
136,119.45161290322581,96.6304347826087,160.85714285714286,160.85714285714286
137,117.09677419354838,96.26086956521739,156.07142857142858,156.07142857142858
138,118.19354838709677,97.78260869565217,156.35714285714286,156.35714285714286
139,121.38709677419355,96.3913043478261,158.71428571428572,158.71428571428572
140,117.58064516129032,96.32608695652173,154.42857142857142,154.42857142857142
141,120.51612903225806,93.02173913043478,162.64285714285714,162.64285714285714
142,122.19354838709677,93.34782608695652,157.71428571428572,157.71428571428572
143,120.70967741935483,92.8913043478261,160.07142857142858,160.07142857142858
144,119.87096774193549,93.0,161.14285714285714,161.14285714285714
145,118.80645161290323,91.80434782608695,156.92857142857142,156.92857142857142
146,119.7741935483871,92.26086956521739,156.57142857142858,156.57142857142858
147,117.3225806451613,88.3695652173913,159.14285714285714,159.14285714285714
148,119.80645161290323,90.1086956521739,162.07142857142858,162.07142857142858
149,118.45161290322581,86.73913043478261,157.57142857142858,157.57142857142858
150,120.64516129032258,90.56521739130434,159.28571428571428,159.28571428571428
151,118.74193548387096,89.08695652173913,161.0,161.0
152,118.54838709677419,90.06521739130434,160.21428571428572,160.21428571428572
153,118.25806451612904,90.1086956521739,159.92857142857142,159.92857142857142
154,120.58064516129032,90.82608695652173,159.64285714285714,159.64285714285714
155,121.93548387096774,92.41304347826087,161.28571428571428,161.28571428571428
156,120.16129032258064,89.21739130434783,160.92857142857142,160.92857142857142
157,119.64516129032258,88.8695652173913,160.14285714285714,160.14285714285714
158,119.2258064516129,90.8913043478261,166.21428571428572,166.21428571428572
159,122.7741935483871,89.02173913043478,157.85714285714286,157.85714285714286
160,121.03225806451613,88.84782608695652,161.07142857142858,161.07142857142858
161,120.25806451612904,90.28260869565217,163.64285714285714,163.64285714285714
162,119.96774193548387,88.15217391304348,165.78571428571428,165.78571428571428
163,117.7741935483871,84.78260869565217,164.92857142857142,164.92857142857142
164,118.6774193548387,85.82608695652173,163.78571428571428,163.78571428571428
165,118.7741935483871,84.23913043478261,163.64285714285714,163.64285714285714
166,116.64516129032258,86.23913043478261,167.85714285714286,167.85714285714286
167,121.3225806451613,85.19565217391305,167.35714285714286,167.35714285714286
168,119.54838709677419,82.73913043478261,163.14285714285714,163.14285714285714
169,120.70967741935483,84.65217391304348,162.57142857142858,162.57142857142858
170,119.54838709677419,82.58695652173913,168.0,168.0
171,116.45161290322581,79.97826086956522,166.71428571428572,166.71428571428572
172,121.12903225806451,85.41304347826087,169.14285714285714,169.14285714285714
173,120.54838709677419,84.1086956521739,167.57142857142858,167.57142857142858
174,119.12903225806451,84.15217391304348,162.71428571428572,162.71428571428572
175,118.25806451612904,81.8695652173913,165.14285714285714,165.14285714285714
176,119.7741935483871,84.43478260869566,167.21428571428572,167.21428571428572
177,114.2258064516129,80.56521739130434,169.0,169.0
178,119.03225806451613,84.34782608695652,168.78571428571428,168.78571428571428
179,119.70967741935483,83.67391304347827,167.5,167.5
180,118.64516129032258,85.3695652173913,165.85714285714286,165.85714285714286
181,119.2258064516129,84.47826086956522,168.57142857142858,168.57142857142858
